Worm,Slice,Nuclei,Annotation
3,6,0,
3,7,5,
3,9,11,
3,10,7,
3,11,15,
3,12,5,
3,14,8,
3,15,5,
3,17,14,
3,18,17,
3,19,9,
3,20,8,
3,21,9,
3,22,10,
3,23,13,
3,25,9,
3,26,8,
3,27,4,
3,28,9,
3,30,4,
3,32,4,
3,33,6,
3,35,2,Vulva
3,38,12,
3,46,15,
3,47,12,
3,48,19,
3,49,27,
4,9,7,
4,14,12,
4,16,20,
4,17,11,
4,21,10,
4,30,7,
4,33,6,
4,36,12,Vulva
4,37,19,
4,41,39,
4,42,21,
4,43,16,
4,44,22,
4,45,26,
4,46,8,
4,47,12,
4,49,19,
4,50,19,
4,51,16,
4,53,34,
4,54,35,
6,11,10,
6,12,8,
6,13,20,
6,14,12,
6,15,10,
6,16,11,
6,17,12,
6,18,6,
6,19,11,
6,22,15,
6,25,8,
6,27,12,
6,28,12,
6,29,3,
6,31,6,
6,32,10,
6,33,11,
6,34,8,
6,39,9,Vulva
6,40,17,
6,41,17,
6,42,22,
6,43,26,
6,44,39,
6,46,19,
6,51,24,
6,55,18,
6,59,21,
6,62,42,
6,65,51,
7,32,10,
7,33,9,
7,34,12,
7,35,20,
7,37,7,
7,40,15,
7,41,20,
7,42,20,
7,43,11,
7,45,7,
7,46,14,
7,47,11,
7,48,8,
7,50,8,
7,51,13,
7,52,12,
7,56,7,
7,57,10,
7,58,10,
7,59,10,
7,60,9,Vulva
7,61,20,
7,62,25,
